ride_stations,distance_km,is_member,duration_minute
558_214,1.9723283221125336,1.0,15.183333333333334
173_214,0.7303582511754874,1.0,6.166666666666667
173_214,0.7303582511754874,1.0,3.85
574_214,2.379521678178484,1.0,9.033333333333333
250_214,1.12970722677884,1.0,6.55
175_177,0.2999639044989333,1.0,1.5833333333333333
175_237,2.1115279824614195,1.0,9.433333333333334
428_237,1.1782827680657462,1.0,3.7333333333333334
316_237,1.3158079736326542,1.0,11.516666666666667
235_237,1.4389579957715046,1.0,7.666666666666667
149_237,2.3853280243287607,1.0,25.6
980_237,6.786358331230037,1.0,34.8
175_425,2.4087005722529655,1.0,11.05
217_425,1.646666867255901,1.0,10.283333333333333
176_425,2.266049454929656,1.0,8.466666666666667
175_303,1.0859638763292847,1.0,5.066666666666666
935_303,2.7458147908328123,1.0,16.333333333333332
1164_303,2.9157546945533674,1.0,10.45
1181_303,3.4726300899375224,1.0,23.633333333333333
175_910,0.5034157474250134,1.0,4.266666666666667
1044_910,0.5634025115700335,1.0,25.0
257_910,1.5631646136550341,1.0,8.333333333333334
175_1009,0.5145123364302842,1.0,2.95
429_1009,1.9358912580161256,0.0,15.15
592_1009,2.406898739795422,1.0,13.033333333333333
261_1009,0.631987459156898,1.0,5.816666666666666
339_1009,1.3410964546898414,1.0,11.9
572_1009,2.8062252537632717,1.0,16.433333333333334
171_1009,0.5244847041198397,1.0,6.75
845_1009,0.9996529570617021,1.0,17.583333333333332
170_1009,0.1975390933373943,1.0,1.1166666666666667
173_1009,0.2600451194581155,1.0,5.55
681_1009,2.409600655394919,0.0,12.533333333333333
175_865,2.2982711685880375,1.0,16.516666666666666
376_865,2.110278799590185,1.0,10.216666666666667
1070_865,2.4470596419323147,0.0,43.25
943_865,0.6420400705508758,1.0,3.7
430_865,0.5876188985331862,1.0,5.033333333333333
322_865,2.089513748462393,1.0,27.6
559_865,3.750574788170393,1.0,20.616666666666667
757_865,1.6045006581180314,1.0,11.8
215_865,1.7974036246979523,0.0,18.3
175_556,2.057894951724819,1.0,11.45
553_556,0.9550911391181579,1.0,3.0166666666666666
578_556,0.8228702396735441,1.0,3.3
651_556,2.736127444926226,1.0,18.0
175_216,0.7963485577077626,1.0,6.883333333333334
214_216,0.12211275522960446,0.0,14.416666666666666
1025_216,0.3805643941412113,1.0,2.15
208_216,0.5874506642085583,1.0,2.316666666666667
1054_216,2.351833000030507,1.0,9.733333333333333
